IDNAME,RA,Dec,z,LookbackTime,SFR,F250,NAME_IAU,Feature
G15.DR1.4735,214.277878,0.190311,0.270157009,3.11455798,44.3830032,0.047766,HATLAS J141706.6+001125,-
G15.DR1.4738,212.508102,0.812897027,0.16471,2.0307982,22.8064518,0.063008,HATLAS J141001.9+004846,-
G15.DR1.474,221.250412,1.40853798,0.0337800011,0.454652995,2.11517477,0.129829,HATLAS J144500.0+012430,-
G15.DR1.4740,218.950592,0.106262997,1.40515661,9.0968132,1639.9137,0.062664,HATLAS J143548.1+000622,-
G15.DR1.4741,215.153412,0.942776024,0.169909999,2.08784246,24.1010361,0.063142,HATLAS J142036.8+005633,-
G15.DR1.4743,221.322693,0.0663060024,0.690272987,6.24832964,270.386078,0.047176,HATLAS J144517.4+000358,-
G15.DR1.4744,216.776779,-0.389052004,0.163340002,2.01570392,22.9896793,0.064697,HATLAS J142706.4-002320,-
G15.DR1.4746,219.79454,-0.872772992,1.57139349,9.51532078,2133.65308,0.062792,HATLAS J143910.6-005221,-
G15.DR1.4747,220.348984,-0.96685499,0.150539994,1.87333643,19.7967072,0.065112,HATLAS J144123.7-005800,-
G15.DR1.47473,214.398834,1.38947296,4.20497227,12.2248774,12813.2139,0.020129,HATLAS J141735.7+012322,-
G15.DR1.47474,212.763184,0.591697991,2.34499574,10.8464031,2609.58911,0.028072,HATLAS J141103.1+003530,-
G15.DR1.47489,221.591507,0.97746098,2.95814228,11.4763384,5016.17188,0.027722,HATLAS J144621.9+005838,-
G15.DR1.47514,217.786102,1.27698696,2.88195515,11.4110298,4721.02588,0.028253,HATLAS J143108.6+011637,-
G15.DR1.4752,213.299103,-0.399396986,0.126069993,1.59429789,12.8476372,0.059775,HATLAS J141311.7-002357,-
G15.DR1.4753,217.306046,-0.382007986,0.135690004,1.70509148,12.2506208,0.049368,HATLAS J142913.4-002255,-
G15.DR1.4754,214.645721,-0.101245999,0.276520014,3.1753068,45.7357903,0.046985,HATLAS J141834.9-000604,-
G15.DR1.4755,219.343689,0.933979988,0.302929997,3.42220926,65.8814087,0.056751,HATLAS J143722.4+005602,-
G15.DR1.4757,213.523911,-0.0672409981,1.21967125,8.5458107,1119.22449,0.058869,HATLAS J141405.7-000402,-
G15.DR1.4758,220.874268,-0.283248991,0.205829993,2.47134113,25.2850113,0.04557,HATLAS J144329.8-001659,-
G15.DR1.47584,217.084274,0.919945002,3.01541805,11.5234251,3930.36011,0.020445,HATLAS J142820.2+005511,-
G15.DR1.4759,215.539764,-0.516059995,0.706327021,6.33950281,395.624725,0.065792,HATLAS J142209.5-003057,-
G15.DR1.4760,214.968781,0.275638014,1.82425022,10.0447989,2340.95996,0.04804,HATLAS J141952.5+001632,-
G15.DR1.4763,213.439819,1.18044901,0.0544099994,0.722024441,2.14625788,0.051423,HATLAS J141345.5+011049,-
G15.DR1.47634,219.071655,0.339387,3.41552687,11.8113594,7726.56885,0.026761,HATLAS J143617.1+002021,-
