RA,Dec,z,LookbackTime
215.77211,1.47497106,0.000111579895,0.0686356723
221.259583,-0.754346013,0.000112533569,0.0686356723
220.125092,0.404332995,0.000112533569,0.0686356723
214.287949,-0.922300994,0.000112533569,0.0686356723
220.255234,0.101378001,0.000112533569,0.0686356723
221.330032,0.924389005,0.000113487244,0.0686356723
214.034302,-0.356534004,0.000113487244,0.0686356723
216.648758,-0.832908988,0.000113487244,0.0686356723
212.355331,-0.944178998,0.000114440918,0.0686356723
212.981598,0.0622400008,0.000114440918,0.0686356723
220.235306,0.0656180009,0.000114440918,0.0686356723
220.780289,0.854929984,0.000115394592,0.0686356723
213.123718,1.31584704,0.000117301941,0.0686356723
212.522125,-0.66197902,0.000120162964,0.0686356723
217.211029,1.16243601,0.000121116638,0.0686356723
220.424423,-0.424385995,0.000121116638,0.0686356723
212.74472,0.808515012,0.000123023987,0.0686356723
212.724548,-0.844519973,0.000123977661,0.0686356723
216.861588,-0.235433996,0.000123977661,0.0686356723
217.679153,0.807213008,0.000123977661,0.0686356723
219.521225,0.979340017,0.000123977661,0.0686356723
219.657715,1.39476502,0.000123977661,0.0686356723
219.50914,0.970157027,0.000123977661,0.0686356723
217.284241,0.121786997,0.000123977661,0.0686356723
214.523544,1.22335303,0.000124931335,0.0686356723
218.602402,1.36240101,0.000124931335,0.0686356723
212.163422,0.422156006,0.00012588501,0.0686356723
214.870148,-0.612185001,0.000126838684,0.0686356723
220.485107,-0.376296997,0.000126838684,0.0686356723
219.49826,0.929549992,0.000130653381,0.0686356723
218.072525,1.17582905,0.000134468079,0.0686356723
215.274323,0.925581992,0.000135421753,0.0686356723
221.574753,0.671621025,0.000135421753,0.0686356723
216.182007,0.0227770004,0.000135421753,0.0686356723
220.547821,-0.778675973,0.000135421753,0.0686356723
213.478287,0.895767987,0.000135421753,0.0686356723
220.815308,0.983511984,0.000135421753,0.0686356723
219.915848,0.502735972,0.000136375427,0.0686356723
214.457565,1.47268498,0.000136375427,0.0686356723
213.477585,0.23691,0.000136375427,0.0686356723
215.328156,1.45009696,0.000136375427,0.0686356723
217.542526,1.30928695,0.000136375427,0.0686356723
217.567795,1.20262802,0.000141143799,0.0686356723
215.793762,0.979314029,0.000141143799,0.0686356723
214.87294,0.415726006,0.000142097473,0.0686356723
215.664688,-0.133259997,0.000146865845,0.0686356723
217.758194,0.000270999997,0.000146865845,0.0686356723
216.502625,-0.258753985,0.000146865845,0.0686356723
216.121597,0.211069003,0.000146865845,0.0686356723
216.166565,-0.753069997,0.000146865845,0.0686356723
216.927063,1.48210299,0.000147819519,0.0686356723
215.946915,1.49579,0.000149726868,0.0686356723
221.944565,-0.0250279997,0.000151634216,0.0686356723
213.009628,0.256597996,0.000151634216,0.0686356723
213.698151,0.686927974,0.000152587891,0.0686356723
221.982651,0.296151012,0.000153541565,0.0686356723
220.483459,-0.0401890017,0.000153541565,0.0686356723
221.422272,0.667883992,0.000153541565,0.0686356723
219.210342,0.943077028,0.000154495239,0.0686356723
215.984894,0.447539002,0.000154495239,0.0686356723
215.982895,0.399580002,0.000154495239,0.0686356723
212.04512,1.22332597,0.000154495239,0.0686356723
217.14325,-0.330291986,0.000156402588,0.0686356723
214.625763,0.221790001,0.000156402588,0.0686356723
218.544205,1.21058404,0.000157356262,0.0686356723
220.65213,-0.171366006,0.000157356262,0.0686356723
214.215103,0.236843005,0.000157356262,0.0686356723
216.763062,-0.228948995,0.000158309937,0.0686356723
219.172852,-0.346668988,0.000158309937,0.0686356723
213.583603,-0.0344050005,0.000158309937,0.0686356723
216.618774,-0.0461959988,0.000158309937,0.0686356723
214.513565,-0.556549013,0.000159263611,0.0686356723
220.029236,0.92335701,0.000159263611,0.0686356723
221.163116,-0.896000981,0.000159263611,0.0686356723
220.123016,0.741342008,0.000159263611,0.0686356723
214.22496,0.771829009,0.000159263611,0.0686356723
215.981461,-0.383408993,0.000160217285,0.0686356723
215.864655,-0.731378973,0.000160217285,0.0686356723
213.816193,-0.763258994,0.000160217285,0.0686356723
220.886475,0.666125,0.000160217285,0.0686356723
214.540726,0.918277025,0.000160217285,0.0686356723
217.4767,0.929746985,0.000160217285,0.0686356723
220.966675,0.650934994,0.000161170959,0.0686356723
217.105972,1.13459897,0.000162124634,0.0686356723
214.610352,0.974749029,0.000162124634,0.0686356723
214.25824,0.915010989,0.000162124634,0.0686356723
212.30954,0.574473023,0.000162124634,0.0686356723
219.104111,0.829837024,0.000162124634,0.0686356723
218.576294,1.241014,0.000163078308,0.0686356723
214.417847,-0.250735998,0.000163078308,0.0686356723
220.76268,-0.676753998,0.000163078308,0.0686356723
215.328873,1.420151,0.000163078308,0.0686356723
219.849289,-0.27592501,0.000163078308,0.0686356723
215.997604,-0.783450007,0.000163078308,0.0686356723
218.991577,0.0261780005,0.000163078308,0.0686356723
215.267914,1.24022102,0.000163078308,0.0686356723
217.602844,-0.710669994,0.000164031982,0.0686356723
215.299133,0.664164007,0.000164031982,0.0686356723
219.003983,0.573509991,0.000164031982,0.0686356723
215.552658,0.619280994,0.000164031982,0.0686356723
219.854294,0.174931005,0.000164031982,0.0686356723
216.689636,0.592399001,0.000164031982,0.0686356723
215.493851,-0.346742988,0.000164985657,0.0686356723
213.307114,-0.860072017,0.000164985657,0.0686356723
218.242004,1.347826,0.000164985657,0.0686356723
220.863754,0.161321998,0.000164985657,0.0686356723
213.844009,1.40890205,0.000164985657,0.0686356723
213.332611,0.849316001,0.000164985657,0.0686356723
212.652863,0.811546981,0.000164985657,0.0686356723
217.701019,1.09207702,0.000164985657,0.0686356723
215.179626,0.49771601,0.000164985657,0.0686356723
219.520782,0.445062995,0.000164985657,0.0686356723
217.49736,1.21760595,0.000164985657,0.0686356723
218.267899,-0.498712987,0.000164985657,0.0686356723
216.830994,1.26279104,0.000165939331,0.0686356723
218.872375,-0.678873003,0.000165939331,0.0686356723
212.023697,0.189414993,0.000165939331,0.0686356723
216.002823,-0.591800988,0.000165939331,0.0686356723
212.141724,1.15361202,0.000165939331,0.0686356723
219.247528,1.21523404,0.000165939331,0.0686356723
213.951492,-0.126133993,0.000165939331,0.0686356723
219.317764,-0.111064002,0.000165939331,0.0686356723
221.18309,0.420276999,0.000165939331,0.0686356723
218.735321,0.750564992,0.000166893005,0.0686356723
214.126419,-0.966740012,0.000166893005,0.0686356723
218.580521,-0.942429006,0.000166893005,0.0686356723
221.392975,-0.363164991,0.000166893005,0.0686356723
214.47905,0.344902009,0.000166893005,0.0686356723
216.809372,0.178260997,0.00016784668,0.0686356723
215.845505,0.264432013,0.00016784668,0.0686356723
215.243927,-0.651664972,0.00016784668,0.0686356723
220.322144,1.10279906,0.00016784668,0.0686356723
212.744705,1.02682304,0.00016784668,0.0686356723
218.742538,-0.685437024,0.00016784668,0.0686356723
215.08223,0.763374984,0.00016784668,0.0686356723
220.273438,1.46955001,0.00016784668,0.0686356723
215.368637,-0.655202985,0.000169754028,0.0686356723
