IDNAME,RA,Dec,z,LookbackTime,SFR,F500,Z_PHOT,F350,alpha250350,Z_SPEC,F250,NAME_IAU,FeatureType,FeatureName,FeatureZopt,FeatureZsubmm
G15.DR1.9091,219.759171,-0.462724,0.476996988,4.85840321,141.75412,0.023833,1.4169454163754538,0.040022,0.7220363890830308,-99.0,0.051028,HATLAS J143902.2-002745,-,,0.0,0.0
G15.DR1.9092,220.811813,-0.981805027,1.24885321,8.63922405,774.638062,0.02408446,-1.1175272875705522,0.01719036,2.4116848583803683,-99.0,0.038699,HATLAS J144314.8-005854,-,,0.0,0.0
G15.DR1.9095,215.217499,-0.49773699,0.97286886,7.63505602,447.977509,0.01432938,0.18933729756078188,0.02292643,1.5404418016261454,-99.0,0.038498,HATLAS J142052.1-002951,-,,0.0,0.0
G15.DR1.9098,218.323853,-0.455516011,0.737187624,6.51004982,256.211853,0.00580454,1.0981172194041902,0.02859169,0.9345885203972065,-99.0,0.039157,HATLAS J143317.7-002719,-,,0.0,0.0
G15.DR1.9099,214.002213,1.35817099,0.0,0.0,0.0,-0.0034942,-1.747611764129621,0.01499827,2.831741176086414,0.4698,0.03889,HATLAS J141600.5+012129,-,,0.0,0.0
G15.DR1.9100,218.650055,1.08752096,1.82351446,10.0434484,2468.16504,0.028473,2.3390347580881343,0.048903,0.10731016127457697,-99.0,0.050701,HATLAS J143436.0+010515,-,,0.0,0.0
G15.DR1.9101,214.882462,0.521934986,0.723712385,6.43630886,243.446976,0.03707125,3.337197375546525,0.04659598,-0.5581315836976833,0.72371244,0.038618,HATLAS J141931.7+003118,-,,0.0,0.0
G15.DR1.9102,221.515182,-0.689471006,0.954199195,7.55611324,474.978088,0.015201,0.47461986318098104,0.027035,1.3502534245460127,-99.0,0.042583,HATLAS J144603.6-004122,-,,0.0,0.0
G15.DR1.9106,219.691544,0.991352022,0.483562112,4.90671301,114.16835,0.00464871,0.3921648136232023,0.02492536,1.4052234575845317,-99.0,0.039993,HATLAS J143845.9+005928,-,,0.0,0.0
G15.DR1.9109,218.203903,-0.305927992,1.85408914,10.1001883,1908.37207,0.019629,3.038384428850129,0.04245126,-0.35892295256675255,-99.0,0.037622,HATLAS J143248.9-001821,-,,0.0,0.0
G15.DR1.911,221.300583,-0.253037006,3.54225111,11.8897781,25818.2734,0.099612,3.5911868216205542,0.100684,-0.7274578810803694,-99.0,0.078824,HATLAS J144512.1-001510,-,,0.0,0.0
